Sl.No,Product Name,User Name,Review
105,Smooth camera speaker ,good battery,Good built quality.
106,Smooth camera speaker ,good battery,Good processor along with adreno 306 GPU.
107,Smooth camera speaker ,good battery,1.5GB ram.
108,Smooth camera speaker ,good battery,4G LTE support.
109,Smooth camera speaker ,good battery,Dual sim.
110,Smooth camera speaker ,good battery,Good battery life.
111,Smooth camera speaker ,good battery,Micro sd card support up to 128GB.
112,Smooth camera speaker ,good battery,13MP rear camera with Full HD video recording.
113,Smooth camera speaker ,good battery,5MP front camera.
114,Smooth camera speaker ,good battery,
115,Smooth camera speaker ,good battery,Cons of Smooth camera speaker ÿ
116,Smooth camera speaker ,good battery,
117,long camera speaker ,good battery,Screen is just 720P and it?s not IPS.
118,long camera speaker ,good battery,No screen protection mentioned like gorilla glass or dragon tail glass.
119,long camera speaker ,good battery,No light sensor.
120,long camera speaker ,good battery,Not water-resistant.
121,long camera speaker ,good battery,Keys are not backlit.
122,long camera speaker ,good battery,Only 8GB internal.
123,long camera speaker ,good battery,No led notification.
124,long camera speaker ,Sreenivas Rao,"I have given this model in return twice for replacement,ÿ"
125,long camera speaker ,Sreenivas Rao,1.Software has lot of issues
126,long camera speaker ,Sreenivas Rao,2.Phone gets hanged during call
127,long camera speaker ,Sreenivas Rao,3.very bad touchÿ
128,long camera speaker ,Sreenivas Rao,4.IT's a flop model
129,long camera speaker ,Nirmal Bhattarai,Nice phone loving it . best price .ÿ
130,long camera speaker ,Nirmal Bhattarai,No heatÿ
131,long camera speaker ,Nirmal Bhattarai,No hangÿ
132,long camera speaker ,Nirmal Bhattarai,4g support
133,long camera speaker ,Nirmal Bhattarai,Battery also good
134,long camera speaker ,mohan,my mobile camera quality is not good..
135,long camera speaker ,mohan,some time mobile hanging problem is thereÿ
136,long camera speaker ,mohan,i will not like this phone.
137,camera Sound good excellent Goyal,This is simply awesome.
138,camera Sound good nice ,"Everything working super perfectly, touch is very smooth, clear sound, Good Camera, very handy device."
139,camera Sound is nice excellent Goyal,No problem at all.
134,4goodcamera Sound is nice excellent Goyal,"Guys don't think, Go For It."
135,camera Sound is nice excellent,"Here is one update for the device, DO NOT install the 8.2.4.0 update in this device."
136,camera Sound is nice excellent,"After updating to this version, your device becomes full of bug."
137,camera Sound is nice excellent battery,Camera front 7.5/10
138,camera Sound is nice excellent battery,Camera back 6.5/10
139,camera Sound is nice excellent battery,Display 8/10
140,camera Sound is nice excellent battery,Battery 9.5/10
141,camera Sound is nice excellent battery,Tamper glass not adjust due to 2.5d glass
142,camera Sound is nice excellent battery,Premium looking design
143,camera Sound is nice excellent battery,Audio quality same as camera3s prime
144, goodcamera Sound is nice excellent battery,Not for hard core gaming
145,Screen Sound slow Titir Samaddar,I am facing network issues in my phone. My voice is not audible on the other side. But I am able to hear that person

